points0.pts
zone0.inf
 66 136
 31
HK_QA0
HK_QA1
HK_QA2
HK_QA3
HK_QA4
HK_QA5
HK_QA6
HK_QA7
HK_QA8
HK_QA9
HK_QA10
HK_QA11
HK_QA12
HK_QA13
HK_QA14
HK_QA15
HK_QA16
HK_QA17
HK_QA18
HK_QA19
HK_QA20
HK_QA21
HK_QA22
HK_QA23
HK_QA24
HK_QA25
HK_QA26
HK_QA27
HK_QA28
HK_QA29
HK_QA30
 405 1 13 0.00000000E+00 2 0.510789692 1 0.187414616 3 0.158739597 4 0.161250263 5 -5.36466949E-03 6 4.68718354E-03 7 -4.08640364E-03 9 -5.63695049E-03 8 -2.42868182E-03 10 -4.13524423E-04 11 -2.39831032E-04 12 -1.11868372E-03 13 -3.59261897E-03
 406 1 13 0.00000000E+00 2 0.376339585 1 0.217216596 3 0.168205708 4 0.255986840 5 -6.75172266E-03 6 5.79828117E-03 7 -2.94253044E-03 9 -6.92607928E-03 8 -3.54286400E-03 10 -2.03535179E-04 11 -6.25738874E-04 12 2.23746552E-04 13 -2.77826795E-03
 407 1 13 0.00000000E+00 2 0.281601697 1 0.224622503 3 0.154313192 4 0.354693234 5 -6.91874931E-03 6 4.84414026E-03 7 -2.14764825E-03 9 -7.30342744E-03 8 -4.14222851E-03 10 2.86703755E-04 11 -1.03244686E-03 12 2.25066976E-03 13 -1.06766447E-03
 408 1 13 0.00000000E+00 2 0.211408511 4 0.453590095 1 0.218966827 3 0.127796888 5 -5.15173096E-03 6 1.20015175E-03 7 -2.55662366E-03 8 -3.98989860E-03 9 -6.85799355E-03 10 1.09762070E-03 11 -1.42097671E-03 12 4.74617118E-03 13 1.17094547E-03
 409 1 13 0.00000000E+00 4 0.547987580 2 0.157129437 1 0.206016243 3 9.52911302E-02 5 9.61882033E-05 6 -5.39079402E-03 7 -4.36046021E-03 8 -2.93659000E-03 9 -5.71413431E-03 10 2.30407086E-03 11 -1.81842048E-03 12 7.65263755E-03 13 3.74310859E-03
 410 1 13 0.00000000E+00 4 0.630531847 2 0.114125952 1 0.189716235 3 6.13506585E-02 5 1.19647318E-02 6 -1.46827893E-02 7 -7.30580417E-03 8 -9.25137894E-04 9 -4.07155324E-03 10 4.01382102E-03 11 -2.31895735E-03 12 1.10359183E-02 13 6.56508049E-03
 411 1 13 0.00000000E+00 4 0.689676762 5 3.59035023E-02 2 8.02254528E-02 1 0.173316136 3 2.97573842E-02 6 -2.57764794E-02 7 -1.08402101E-02 8 1.99491670E-03 9 -2.23322259E-03 10 6.36712089E-03 11 -3.08897137E-03 12 1.50695136E-02 13 9.62807611E-03
 468 1 13 0.00000000E+00 2 0.590730906 3 0.366094887 1 5.49129955E-02 4 -2.90930998E-02 5 -8.69481126E-04 7 7.58969178E-03 6 -5.22914110E-03 9 5.16203744E-03 8 -4.50149819E-05 10 5.03905350E-04 11 -6.04210189E-04 13 6.95717987E-03 12 3.88936885E-03
 469 1 13 0.00000000E+00 2 0.664076447 3 0.329743177 1 -1.44631427E-03 4 1.08223353E-02 5 -1.57881610E-03 6 -6.22730644E-04 7 -1.09231344E-03 9 -2.83240661E-06 8 -3.01733060E-04 10 -8.82023814E-05 11 -2.54387014E-05 13 3.58702702E-04 12 1.57733142E-04
 470 1 13 0.00000000E+00 2 0.575979471 3 0.326529682 1 2.97677312E-02 4 7.97653124E-02 5 -3.63300997E-03 6 5.38816489E-03 7 -2.29064166E-03 9 -4.01041517E-03 8 -1.75774016E-03 10 -6.15453930E-04 11 -3.95680036E-05 12 -1.80199870E-03 13 -3.28152324E-03
 471 1 13 0.00000000E+00 2 0.446032137 3 0.313665211 1 8.38430151E-02 4 0.168504789 5 -6.03077281E-03 6 1.16631510E-02 7 1.24899403E-03 9 -6.83165807E-03 8 -3.78025370E-03 10 -9.93210240E-04 11 -4.29645384E-04 12 -2.30133487E-03 13 -4.59042517E-03
 472 1 13 0.00000000E+00 2 0.340654552 3 0.279803991 1 0.120733395 4 0.267559677 5 -8.00311938E-03 6 1.63662508E-02 7 5.24503179E-03 9 -8.52521230E-03 8 -5.57850674E-03 10 -1.14024838E-03 11 -8.90935888E-04 12 -1.79397478E-03 13 -4.43089567E-03
 473 1 13 0.00000000E+00 2 0.259554416 3 0.234813526 4 0.372450143 1 0.138973877 5 -9.29715950E-03 6 1.81275550E-02 7 7.44513189E-03 9 -9.13264882E-03 8 -6.69048028E-03 10 -1.01283647E-03 11 -1.26836274E-03 12 -6.04828470E-04 13 -3.35831102E-03
 474 1 13 0.00000000E+00 4 0.480321079 2 0.195828289 3 0.185249656 1 0.143234655 5 -9.60914884E-03 6 1.60704609E-02 7 7.17230840E-03 9 -8.70684069E-03 8 -6.84728567E-03 10 -5.62706497E-04 11 -1.51742296E-03 12 1.07338745E-03 13 -1.70641858E-03
 475 1 13 0.00000000E+00 4 0.587817132 2 0.144284874 3 0.134786785 1 0.138021275 5 -8.04683752E-03 6 9.70848091E-03 7 4.53179842E-03 8 -5.87536534E-03 9 -7.34913349E-03 10 2.84514768E-04 11 -1.66441966E-03 12 3.16898525E-03 13 3.31885793E-04
 476 1 13 0.00000000E+00 4 0.688346624 2 0.101849958 5 -1.86753192E-03 3 8.60773921E-02 1 0.127145693 6 -8.83781235E-04 7 6.29478600E-05 8 -3.70056857E-03 9 -5.25861513E-03 10 1.64247747E-03 11 -1.80853123E-03 12 5.73201757E-03 13 2.66194460E-03
