points0.pts
zone0.inf
 66 136
 31
SS_QA0
SS_QA1
SS_QA2
SS_QA3
SS_QA4
SS_QA5
SS_QA6
SS_QA7
SS_QA8
SS_QA9
SS_QA10
SS_QA11
SS_QA12
SS_QA13
SS_QA14
SS_QA15
SS_QA16
SS_QA17
SS_QA18
SS_QA19
SS_QA20
SS_QA21
SS_QA22
SS_QA23
SS_QA24
SS_QA25
SS_QA26
SS_QA27
SS_QA28
SS_QA29
SS_QA30
 473 1 11 0.00000000E+00 2 0.259508908 3 0.234633446 4 0.372368157 1 0.138447568 5 -9.46855545E-03 6 1.83623396E-02 7 7.41675915E-03 9 -1.06077073E-02 8 -6.56528864E-03 10 -1.65093679E-03 11 -2.44469335E-03
 474 1 11 0.00000000E+00 4 0.480316728 2 0.195814371 3 0.185183063 1 0.143109918 5 -9.59029049E-03 6 1.61089003E-02 7 7.15254713E-03 9 -9.35202464E-03 8 -6.84004137E-03 10 -1.71582913E-04 11 -1.73157291E-03
 475 1 11 0.00000000E+00 4 0.587909281 2 0.144310072 3 0.134860694 1 0.138394594 5 -7.79131800E-03 6 9.50319041E-03 7 4.52256668E-03 8 -6.01467164E-03 9 -6.96844235E-03 10 1.95847452E-03 11 -6.84421626E-04
 476 1 11 0.00000000E+00 4 0.688553512 2 0.101920985 5 -1.32862537E-03 3 8.63149241E-02 1 0.128105655 6 -1.37749407E-03 7 6.51043883E-05 8 -4.01423918E-03 9 -3.69255547E-03 10 4.86966502E-03 11 5.83066139E-04
 477 1 12 0.00000000E+00 4 0.766771555 5 1.66564304E-02 2 6.75005466E-02 3 4.25161533E-02 1 0.115116023 6 -1.48684382E-02 7 -5.28585073E-03 8 -5.57271647E-04 9 -6.60881633E-04 10 3.59431538E-03 11 -8.93483346E-04 12 1.01109147E-02
 535 1 11 0.00000000E+00 3 0.662756622 2 0.331005424 1 -1.41666306E-03 4 1.09512275E-02 5 -1.53043226E-03 7 -1.13967224E-03 6 -5.29836863E-04 9 1.29659675E-04 8 -3.49627167E-04 10 9.36511515E-06 11 1.13921313E-04
 536 1 11 0.00000000E+00 3 0.590371788 2 0.327668756 1 3.45538487E-03 4 8.14714879E-02 5 -3.32227303E-03 6 1.05186412E-02 7 2.80967518E-03 9 -6.35106023E-03 8 -2.44887243E-03 10 -2.27132649E-03 11 -1.90217479E-03
 537 1 11 0.00000000E+00 3 0.489177048 2 0.301588684 1 3.02554239E-02 4 0.172133774 5 -5.18640969E-03 6 2.24533416E-02 7 1.24541111E-02 9 -1.05106486E-02 8 -5.40132634E-03 10 -3.62873869E-03 11 -3.33525077E-03
 538 1 11 0.00000000E+00 3 0.397967517 2 0.256628782 1 5.70044853E-02 4 0.272794753 5 -6.59407862E-03 6 3.17157283E-02 7 1.95425693E-02 9 -1.28575927E-02 8 -7.92209525E-03 10 -4.22302587E-03 11 -4.05704975E-03
 539 1 11 0.00000000E+00 3 0.316590399 2 0.207993165 4 0.380142808 1 7.46301264E-02 5 -7.44997384E-03 6 3.69322859E-02 7 2.25900840E-02 9 -1.35536660E-02 8 -9.57445148E-03 10 -4.16584592E-03 11 -4.13494837E-03
 540 1 11 0.00000000E+00 4 0.492846906 3 0.242375940 2 0.161891341 1 8.19876343E-02 5 -7.89586268E-03 6 3.71121392E-02 7 2.16777492E-02 9 -1.27122113E-02 8 -1.01056416E-02 10 -3.51440115E-03 11 -3.66359926E-03
 541 1 11 0.00000000E+00 4 0.609916270 3 0.173740983 2 0.119871683 5 -8.13527126E-03 1 8.05577561E-02 6 3.14326808E-02 7 1.73806250E-02 8 -9.30965133E-03 9 -1.04639437E-02 10 -2.25486304E-03 11 -2.73626717E-03
 542 1 12 0.00000000E+00 4 0.728941917 5 -7.83624500E-03 3 0.110073723 2 8.19970816E-02 1 7.24000558E-02 6 1.94993597E-02 7 1.05249388E-02 8 -6.98530767E-03 9 -7.05904141E-03 10 -7.37075345E-04 11 -1.69729383E-03 12 8.77913088E-04
 543 1 12 0.00000000E+00 4 0.839368939 5 -2.25051306E-03 3 5.23563996E-02 2 4.86031771E-02 1 6.03675283E-02 6 1.94736349E-03 7 2.20157392E-03 8 -3.10938293E-03 9 -2.89940648E-03 10 8.31875601E-04 11 -9.41496226E-04 12 3.52395349E-03
 544 1 12 0.00000000E+00 4 0.889746785 5 3.78774330E-02 3 7.57598691E-03 2 2.33916342E-02 6 -1.73407495E-02 1 5.17763346E-02 7 -5.57628274E-03 8 1.30795222E-03 9 1.11988175E-03 10 3.33511829E-03 11 -6.64316001E-04 12 7.45025044E-03
 601 1 11 0.00000000E+00 3 1.00000000 2 0.00000000E+00 1 0.00000000E+00 4 0.00000000E+00 5 0.00000000E+00 7 0.00000000E+00 6 0.00000000E+00 9 0.00000000E+00 8 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00
 602 1 11 0.00000000E+00 3 0.786077857 2 0.114132479 1 -6.06402801E-03 4 8.22633877E-02 5 -1.25984394E-03 6 2.04042941E-02 7 2.07714494E-02 9 -6.67926017E-03 8 -4.46613040E-03 10 -2.50789174E-03 11 -2.67230463E-03
