points0.pts
zone0.inf
 152 271
 38
PP0
PP1
PP2
PP3
PP4
PP5
PP6
PP7
PP8
PP9
PP10
PP11
PP12
PP13
PP14
PP15
PP16
PP17
PP18
PP19
PP20
PP21
PP22
PP23
PP24
PP25
PP26
PP27
PP28
PP29
PP30
PP31
PP32
PP33
PP34
PP35
PP36
PP37
 1074 1 11 0.00000000E+00 2 0.704952359 1 0.200066850 4 0.143062323 3 -8.72313231E-02 5 -1.48847811E-02 6 -3.43944458E-03 7 2.90464307E-03 9 3.44725850E-04 8 5.94497053E-03 10 1.14909001E-02 11 3.67887877E-02
 1075 1 11 0.00000000E+00 2 0.739597201 1 0.193303868 4 0.115283251 3 -7.77172223E-02 5 -1.32644018E-02 6 -3.07791727E-03 7 2.28897086E-03 9 1.62443685E-04 8 4.84850537E-03 10 9.03369859E-03 11 2.95415968E-02
 1076 1 11 0.00000000E+00 2 0.774098814 1 0.186586887 4 8.42228457E-02 3 -6.57576546E-02 5 -1.13541149E-02 6 -2.59756111E-03 7 1.70797727E-03 9 3.70203670E-05 8 3.78224347E-03 10 6.70552393E-03 11 2.25680266E-02
 1077 1 11 0.00000000E+00 2 0.804472387 1 0.181399688 4 5.13299964E-02 3 -5.03032804E-02 5 -9.29521024E-03 6 -2.03400129E-03 7 1.16469781E-03 9 -3.69574664E-05 8 2.75923964E-03 10 4.55361186E-03 11 1.59898065E-02
 1078 1 11 0.00000000E+00 2 0.821209133 1 0.181508720 4 2.04059500E-02 3 -2.92046443E-02 5 -7.45533174E-03 6 -1.49704353E-03 7 6.55978918E-04 9 -9.02815445E-05 8 1.80210348E-03 10 2.63625616E-03 11 1.00291381E-02
 1079 1 11 0.00000000E+00 2 0.806725562 1 0.194037497 3 1.29269436E-03 4 -1.32816180E-03 5 -6.53277244E-03 6 -1.20178505E-03 7 1.66917336E-04 8 9.48974164E-04 9 -1.91944157E-04 10 1.03046221E-03 11 5.05254790E-03
 1080 1 11 0.00000000E+00 2 0.749496162 1 0.223312572 3 4.37289290E-02 4 -8.92149843E-03 5 -6.97534997E-03 6 -1.30548049E-03 7 -2.96301296E-04 8 2.40130044E-04 9 -3.96230462E-04 10 -2.15628301E-04 11 1.33269280E-03
 1081 1 11 0.00000000E+00 2 0.662903309 1 0.262689143 3 9.56620649E-02 4 -7.31119327E-03 5 -8.20701662E-03 6 -1.68575114E-03 7 -6.66480279E-04 8 -2.97499413E-04 9 -6.70574314E-04 10 -1.14476169E-03 11 -1.27123646E-03
 1082 1 11 0.00000000E+00 2 0.566360712 1 0.302811444 3 0.153334469 4 -3.68340500E-03 5 -9.37549770E-03 6 -2.16010096E-03 7 -8.55005987E-04 8 -6.37694029E-04 9 -9.68271052E-04 10 -1.82846864E-03 11 -2.99820653E-03
 1083 1 11 0.00000000E+00 2 0.471085846 1 0.337958246 3 0.214350566 4 -1.75298459E-03 5 -9.90161765E-03 6 -2.64982716E-03 7 -7.90730061E-04 8 -7.43104902E-04 9 -1.27961114E-03 10 -2.32221745E-03 11 -3.95456003E-03
 1084 1 11 0.00000000E+00 2 0.382466555 1 0.365294755 3 0.276984960 4 -2.78825290E-03 5 -9.35397390E-03 6 -3.14133172E-03 7 -4.19376505E-04 8 -5.78573672E-04 9 -1.61949929E-03 10 -2.67207716E-03 11 -4.17320244E-03
 1085 1 11 0.00000000E+00 1 0.383886904 2 0.302994102 3 0.339382738 4 -6.87583396E-03 5 -7.29932217E-03 6 -3.64470133E-03 7 2.97270599E-04 8 -1.22968821E-04 9 -2.01217481E-03 10 -2.91956053E-03 11 -3.68641829E-03
 1086 1 11 0.00000000E+00 1 0.394257843 3 0.399219185 2 0.233571723 4 -1.35013452E-02 5 -3.23618157E-03 6 -4.17202152E-03 7 1.37786695E-03 8 6.26890862E-04 9 -2.48366990E-03 10 -3.10609816E-03 11 -2.55420012E-03
